Month,usg_apt,fg_apt,carrier,Total
1,DFW,CUN,AA,77017
1,JFK,CDG,AF,71533
1,JFK,LHR,BA,66740
1,ATL,CUN,DL,64934
1,MIA,PTY,CM,59704
1,JFK,SDQ,B6,59031
1,JFK,STI,B6,56843
1,JFK,DXB,EK,54094
1,LAX,GDL,Y4,51177
1,IAH,CUN,UA,49007
1,MIA,CUN,AA,48709
1,JFK,LHR,VS,48316
1,FLL,YUL,AC,47674
1,IAH,MEX,UA,43953
1,MCO,PTY,CM,42027
1,LAX,LHR,BA,41902
1,JFK,IST,TK,41896
1,MIA,SDQ,AA,41621
1,EWR,LHR,UA,40893
1,LAX,ICN,OZ,40569
1,MSP,CUN,DL,40355
1,FLL,YYZ,AC,40161
1,ATL,MEX,DL,39659
1,SFO,TPE,BR,39448
1,MIA,HAV,AA,38761
1,CLT,CUN,AA,38716
1,LAX,MNL,PR,38407
1,LAX,TPE,BR,38227
1,MIA,LHR,BA,37374
1,LAX,MEX,AM,36282
1,LAX,CDG,AF,35951
1,MIA,EZE,AA,35741
1,DFW,MEX,AA,35555
1,JFK,ICN,KE,35449
1,EWR,TLV,UA,35388
1,MIA,BOG,AV,35269
1,LAX,ICN,KE,35243
1,MIA,GRU,AA,35093
1,MIA,YYZ,AC,34562
1,MIA,NAS,AA,34539
1,MIA,MEX,AA,34420
1,DTW,AMS,DL,33920
1,DFW,SJD,AA,33715
1,LAX,YVR,AC,33678
1,MIA,GRU,JJ,33389
1,LAX,YYZ,AC,32941
1,EWR,CUN,UA,32531
1,DFW,LHR,AA,32264
1,JFK,DOH,QR,32156
1,JFK,CUN,B6,31867
1,MCO,VCP,AD,31761
1,JFK,LHR,AA,31724
1,ORD,CUN,UA,31635
1,SEA,YVR,OO,31460
1,DEN,CUN,UA,31446
1,ATL,MBJ,DL,30663
1,DTW,CUN,DL,30662
1,JFK,MEX,AM,30285
1,JFK,AUH,EY,30189
1,ORD,IST,TK,29855
1,MIA,SJO,AA,29754
1,ORD,CUN,AA,29639
1,ATL,AMS,DL,29549
1,FLL,VCP,AD,29303
1,ATL,GRU,DL,28973
1,ATL,AMS,KL,28964
1,CLT,MBJ,AA,28959
1,DFW,PVR,AA,28764
1,MIA,MAD,IB,28600
1,MCO,MEX,AM,28549
1,JFK,PTY,CM,28293
1,LGA,YYZ,QK,28176
1,MIA,LIM,AA,27978
1,JFK,STI,DL,27945
1,MIA,CDG,AF,27814
1,PHX,SJD,AA,27661
1,JFK,SDQ,DL,27590
1,LAX,SAL,TA,27565
1,MIA,MEX,AM,27406
1,IAH,GUA,UA,27055
1,LAX,SIN,SQ,26900
1,MIA,MBJ,AA,26810
1,LAX,IST,TK,26623
1,JFK,KIN,B6,26584
1,ATL,PUJ,DL,26455
1,JFK,BOG,AV,26426
1,SFO,YYZ,AC,26374
1,JFK,AUA,B6,26151
1,MIA,SCL,LA,26020
1,JFK,DUB,EI,25984
1,JFK,MAD,IB,25984
1,SFO,LHR,BA,25894
1,EWR,YTZ,PD,25865
1,ATL,CDG,DL,25796
1,DFW,GDL,AA,25742
1,IAD,SAL,TA,25742
1,EWR,LHR,BA,25683
1,JFK,MBJ,B6,25639
1,SFO,DXB,EK,25517
1,MIA,IST,TK,25443
1,LAX,LHR,VS,25363
1,MIA,GUA,AA,25342
1,JFK,AMS,DL,25295
1,JFK,CDG,DL,25240
1,IAD,ADD,ET,24972
1,PHL,CUN,AA,24888
1,SFO,YVR,AC,24887
1,MIA,LHR,AA,24770
1,IAD,FRA,UA,24693
1,ATL,NAS,DL,24669
1,SFO,SIN,UA,24556
1,LAX,DXB,EK,24531
1,FLL,SJO,NK,24447
1,CLT,PUJ,AA,24406
1,SFO,IST,TK,24182
1,JFK,HKG,CX,24133
1,SEA,ICN,DL,24123
1,MIA,LIM,LP,24021
1,HOU,CUN,WN,24001
1,IAD,DXB,EK,23889
1,LAX,SYD,QF,23869
1,IAD,IST,TK,23853
1,BOS,LHR,BA,23754
1,MIA,PUJ,AA,23750
1,LAX,HKG,CX,23710
1,LAX,PTY,CM,23529
1,ORD,LHR,BA,23440
1,LAX,AKL,NZ,23406
1,LAX,TPE,CI,23347
1,IAD,PTY,CM,23315
